# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig2.fig
# Figure title: Figure 2
# X axis: Random number
# Y axis: Scattering angle \theta_{LAB} (deg.)
# Interpretation: inverse CDF style mapping from random number to H or H-ENA atmospheric scattering angle in LAB frame.
# Columns: random_number scattering_angle_lab_deg
random_number	scattering_angle_lab_deg
0.942441475166	7.31
0.942500885765	7.32
0.942560161308	7.33
0.942619302286	7.34
0.942678309188	7.35
0.942737182498	7.36
0.9427959227	7.37
0.942854530275	7.38
0.942913005703	7.39
0.942971349457	7.4
0.943029562014	7.41
0.943087643844	7.42
0.943145595416	7.43
0.943203417197	7.44
0.943261109652	7.45
0.943318673243	7.46
0.94337610843	7.47
0.943433415671	7.48
0.943490595421	7.49
0.943547648133	7.5
0.943604574259	7.51
0.943661374248	7.52
0.943718048545	7.53
0.943774597596	7.54
0.943831021843	7.55
0.943887321727	7.56
0.943943497684	7.57
0.943999550152	7.58
0.944055479563	7.59
0.944111286351	7.6
0.944166970944	7.61
0.944222533769	7.62
0.944277975254	7.63
0.94433329582	7.64
0.94438849589	7.65
0.944443575884	7.66
0.944498536217	7.67
0.944553377307	7.68
0.944608099566	7.69
0.944662703405	7.7
0.944717189236	7.71
0.944771557464	7.72
0.944825808496	7.73
0.944879942736	7.74
0.944933960585	7.75
0.944987862443	7.76
0.945041648708	7.77
0.945095319777	7.78
0.945148876044	7.79
0.945202317901	7.8
0.945255645739	7.81
0.945308859947	7.82
0.945361960912	7.83
0.945414949018	7.84
0.945467824649	7.85
0.945520588187	7.86
0.945573240012	7.87
0.945625780501	7.88
0.945678210031	7.89
0.945730528976	7.9
0.94578273771	7.91
0.945834836602	7.92
0.945886826024	7.93
0.945938706341	7.94
0.94599047792	7.95
0.946042141126	7.96
0.946093696321	7.97
0.946145143865	7.98
0.946196484119	7.99
0.946247717439	8
0.946298844182	8.01
0.946349864702	8.02
0.946400779352	8.03
0.946451588483	8.04
0.946502292444	8.05
0.946552891584	8.06
0.946603386248	8.07
0.946653776781	8.08
0.946704063528	8.09
0.946754246828	8.1
0.946804327023	8.11
0.946854304452	8.12
0.94690417945	8.13
0.946953952354	8.14
0.947003623497	8.15
0.947053193213	8.16
0.947102661832	8.17
0.947152029683	8.18
0.947201297096	8.19
0.947250464396	8.2
0.947299531908	8.21
0.947348499957	8.22
0.947397368864	8.23
0.947446138951	8.24
0.947494810536	8.25
0.947543383939	8.26
0.947591859474	8.27
0.947640237458	8.28
0.947688518204	8.29
0.947736702025	8.3
0.947784789232	8.31
0.947832780133	8.32
0.947880675039	8.33
0.947928474254	8.34
0.947976178086	8.35
0.948023786838	8.36
0.948071300813	8.37
0.948118720313	8.38
0.948166045638	8.39
0.948213277087	8.4
0.948260414957	8.41
0.948307459546	8.42
0.948354411147	8.43
0.948401270055	8.44
0.948448036563	8.45
0.94849471096	8.46
0.948541293539	8.47
0.948587784586	8.48
0.94863418439	8.49
0.948680493237	8.5
0.948726711412	8.51
0.948772839198	8.52
0.948818876879	8.53
0.948864824735	8.54
0.948910683047	8.55
0.948956452093	8.56
0.949002132152	8.57
0.949047723499	8.58
0.949093226411	8.59
0.949138641162	8.6
0.949183968023	8.61
0.949229207268	8.62
0.949274359167	8.63
0.94931942399	8.64
0.949364402005	8.65
0.949409293479	8.66
0.949454098678	8.67
0.949498817868	8.68
0.949543451313	8.69
0.949587999274	8.7
0.949632462015	8.71
0.949676839795	8.72
0.949721132874	8.73
0.94976534151	8.74
0.949809465961	8.75
0.949853506483	8.76
0.949897463331	8.77
0.94994133676	8.78
0.949985127021	8.79
